pop,dos,id,draw,blocked,p,q
1,1,23,84.9,0,43,40
1,5,23,84.9,0,44,40
1,10,23,84.9,0,43,40
1,0,59,26.8,0,43,41
1,1,59,26.8,0,43,41
1,5,59,26.8,0,44,41
1,10,59,26.8,0,43,41
1,0,93,55.3,0,43,-98
1,1,93,55.3,0,43,-98
1,5,93,55.3,0,44,-98
1,10,93,55.3,0,43,-98
1,0,126,28.4,0,72,37
1,1,126,28.4,0,67,37
1,5,126,28.4,0,61,38
1,10,126,28.4,0,64,38
1,0,184,13.6,0,72,38
1,1,184,13.6,0,67,38
1,5,184,13.6,0,61,38
1,10,184,13.6,0,64,38
1,0,19,64.8,0,43,42
1,1,19,64.8,0,43,42
1,5,19,64.8,0,44,42
1,10,19,64.8,0,43,42
1,0,83,76.8,0,43,-137
1,1,83,76.8,0,43,-137
1,5,83,76.8,0,44,-137
1,10,83,76.8,0,43,-137
1,0,75,34.5,0,43,-119
1,1,75,34.5,0,43,-119
1,5,75,34.5,0,44,-119
1,10,75,34.5,0,43,-119
1,0,122,97.7,0,72,36
1,1,122,97.7,0,67,36
1,5,122,97.7,0,61,36
1,10,122,97.7,0,64,36
1,0,5,7.3,0,43,39
1,1,5,7.3,0,43,39
1,5,5,7.3,0,44,39
1,10,5,7.3,1,43,39
1,0,198,7.5,0,72,-134
1,1,198,7.5,0,67,-134
1,5,198,7.5,0,61,-134
1,10,198,7.5,1,64,-134
1,0,99,38.0,0,43,-171
1,1,99,38.0,0,43,-171
1,5,99,38.0,0,44,-171
1,10,99,38.0,0,43,-171
1,0,166,84.7,0,72,39
1,1,166,84.7,0,67,41
1,5,166,84.7,0,61,41
1,10,166,84.7,0,64,41
1,0,2,99.0,0,43,38
1,1,2,99.0,0,43,38
1,5,2,99.0,0,44,38
1,10,2,99.0,0,43,38
1,0,113,47.0,0,72,36
1,1,113,47.0,0,67,36
1,5,113,47.0,0,61,39
1,10,113,47.0,0,64,39
1,0,139,73.9,0,72,36
1,1,139,73.9,0,67,36
1,5,139,73.9,0,61,36
1,10,139,73.9,0,64,36
1,0,52,94.4,0,43,37
1,1,52,94.4,0,43,37
1,5,52,94.4,0,44,37
1,10,52,94.4,0,43,37
1,0,17,16.3,0,43,44
1,1,17,16.3,0,43,44
1,5,17,16.3,0,44,44
1,10,17,16.3,0,43,44
1,0,47,98.9,0,43,41
1,1,47,98.9,0,43,41
1,5,47,98.9,0,44,41
1,10,47,98.9,0,43,41
1,0,127,7.4,0,72,38
1,1,127,7.4,0,67,38
1,5,127,7.4,0,61,38
1,10,127,7.4,1,64,38
1,0,22,63.8,0,43,40
1,1,22,63.8,0,43,40
1,5,22,63.8,0,44,40
1,10,22,63.8,0,43,40
1,0,71,97.5,0,43,-153
1,1,71,97.5,0,43,-153
1,5,71,97.5,0,44,-153
1,10,71,97.5,0,43,-153
1,0,128,92.6,0,72,34
1,1,128,92.6,0,67,36
1,5,128,92.6,0,61,36
1,10,128,92.6,0,64,36
1,0,50,2.7,0,43,41
1,1,50,2.7,0,43,41
1,5,50,2.7,1,44,41
1,10,50,2.7,1,43,41
1,0,136,20.8,0,72,39
1,1,136,20.8,0,67,39
1,5,136,20.8,0,61,40
1,10,136,20.8,0,64,39
1,0,20,73.8,0,43,39
1,1,20,73.8,0,43,39
1,5,20,73.8,0,44,39
1,10,20,73.8,0,43,39
1,0,40,46.1,0,43,37
1,1,40,46.1,0,43,37
1,5,40,46.1,0,44,37
1,10,40,46.1,0,43,37
1,0,185,28.4,0,72,35
1,1,185,28.4,0,67,35
1,5,185,28.4,0,61,38
1,10,185,28.4,0,64,35
1,0,48,93.3,0,43,40
1,1,48,93.3,0,43,40
1,5,48,93.3,0,44,40
1,10,48,93.3,0,43,40
1,0,44,45.4,0,43,40
1,1,44,45.4,0,43,40
1,5,44,45.4,0,44,40
1,10,44,45.4,0,43,40
1,0,31,26.2,0,43,39
1,1,31,26.2,0,43,39
1,5,31,26.2,0,44,39
1,10,31,26.2,0,43,39
1,0,25,16.6,0,43,38
1,1,25,16.6,0,43,38
1,5,25,16.6,0,44,38
1,10,25,16.6,0,43,38
1,0,80,15.6,0,43,-90
1,1,80,15.6,0,43,-90
1,5,80,15.6,0,44,-90
1,10,80,15.6,0,43,-90
2,0,203,0.0,0,-1,0
2,1,203,0.0,0,-1,0
2,5,203,0.0,0,43,0
2,10,203,0.0,0,43,0
2,0,201,0.0,0,-1,0
2,1,201,0.0,0,-1,0
2,5,201,0.0,0,41,0
2,10,201,0.0,0,41,0
2,0,202,0.0,0,-1,0
2,1,202,0.0,0,-1,0
2,5,202,0.0,0,55,0
2,10,202,0.0,0,48,0
