Population,ID,Prob,P,Q
2,55,1,53,39
2,55,5,44,39
2,55,10,60,39
2,66,0,56,-110
2,66,1,53,-99
2,66,5,44,-99
2,66,10,60,-110
2,44,0,56,42
2,44,1,53,42
2,44,10,60,42
2,123,0,60,41
2,123,1,57,41
2,123,5,48,41
2,123,10,64,41
2,138,0,60,38
2,138,1,57,38
2,138,5,48,41
2,138,10,64,38
2,102,0,60,38
2,102,1,57,38
2,102,5,48,39
2,102,10,64,38
2,69,0,56,-98
2,69,1,53,-98
2,69,5,44,-91
2,69,10,60,-98
2,130,0,60,34
2,130,1,57,37
2,130,5,48,37
2,130,10,64,34
2,132,0,60,37
2,132,1,57,40
2,132,5,48,40
2,132,10,64,37
2,83,0,56,-116
2,83,1,53,-116
2,83,5,44,-88
2,83,10,60,-94
2,140,0,60,36
2,140,1,57,36
2,140,5,48,39
2,140,10,64,34
2,145,0,60,42
2,145,1,57,42
2,145,5,48,44
2,145,10,64,42
2,194,0,60,-101
2,194,1,57,-135
2,194,5,48,-135
2,194,10,64,-163
2,41,0,56,36
2,41,1,53,36
2,41,10,60,36
2,53,0,56,39
2,53,1,53,41
2,53,5,44,41
2,53,10,60,39
2,23,0,56,40
2,23,1,53,40
2,23,5,44,40
2,23,10,60,40
2,36,0,56,41
2,36,1,53,41
2,36,5,44,41
2,36,10,60,38
2,192,0,60,-112
2,192,1,57,-112
2,192,5,48,-112
2,192,10,64,-126
2,38,0,56,35
2,38,1,53,35
2,38,5,44,35
2,38,10,60,33
2,2,0,56,40
2,2,1,53,40
2,2,5,44,40
2,2,10,60,37
2,128,0,60,37
2,128,1,57,37
2,128,5,48,39
2,128,10,64,36
2,60,0,56,36
2,60,1,53,39
2,60,5,44,39
2,60,10,60,36
2,131,0,60,38
2,131,1,57,38
2,131,5,48,40
2,131,10,64,38
2,8,0,56,40
2,8,1,53,40
2,8,5,44,40
2,8,10,60,38
2,20,0,56,38
2,20,1,53,40
2,20,5,44,40
2,20,10,60,38
2,117,0,60,37
2,117,1,57,37
2,117,5,48,37
2,117,10,64,37
2,86,0,56,-158
2,86,1,53,-158
2,86,5,44,-158
2,86,10,60,-107
2,110,0,60,34
2,110,1,57,36
2,110,5,48,36
2,110,10,64,34
2,74,0,56,-131
2,74,1,53,-131
2,74,5,44,-131
2,74,10,60,-131
2,185,0,60,37
2,185,1,57,41
2,185,5,48,41
2,185,10,64,37
2,6,0,56,40
2,6,1,53,40
2,6,5,44,42
2,6,10,60,40
